Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.49,-4,-5.7,-5.4,-4.6,-4.9,-4.1,-3.9,-3.6,-3.5,-3.2,-3,0,0,0,0,0
0.5,-3.9,-5.6,-5.4,-4.6,-4.9,-3.8,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.51,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.52,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.53,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.54,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.55,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.56,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.57,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0.1,0,0,0,0
0.58,-3.9,-5.6,-5.4,-4.7,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.59,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-3.9,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.6,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.61,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.62,-3.9,-5.7,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.63,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.64,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.65,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-3.9,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.66,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.67,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,-0.1,0,0
0.68,-3.9,-5.7,-5.4,-4.6,-4.8,-4,-3.9,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.69,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,-0.1,0,0,0,0
0.7,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.71,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-2.9,0,0,0,0,0
0.72,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.73,-3.9,-5.6,-5.4,-4.6,-4.9,-4,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.74,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.3,-3.2,-3,0,0,0,0,0
0.75,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.76,-3.9,-5.6,-5.4,-4.6,-4.6,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.77,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.78,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.79,-3.9,-5.6,-5.4,-4.7,-4.9,-4,-3.9,-3.6,-3.4,-3.3,-3,0,0,0,0,0
0.8,-4,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.81,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.82,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.83,-3.9,-5.7,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.84,-3.8,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0.1,0
0.85,-3.9,-5.7,-5.4,-4.6,-4.8,-4.1,-3.9,-3.6,-3.4,-3.2,-2.9,0,0,0,0,0
0.86,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.87,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.88,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.3,-3.2,-3,0,0,0,0,0
0.89,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.3,-3.2,-3,0,0,0,0,0
0.9,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.91,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,-0.1,0,0,0
0.92,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.93,-3.9,-5.6,-5.4,-4.6,-4.9,-3.9,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.94,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.95,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.96,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.97,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-3.9,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.98,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.99,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.3,-3,0,0,0,0,0
1.01,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.02,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.03,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.04,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.05,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.06,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0.2,0,0
1.07,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.08,-3.9,-5.6,-5.3,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.09,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.1,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.11,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.12,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
1.13,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.1,-3,0,0,0,0,0
