Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi,,
0.44,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.45,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.46,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
0.47,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
0.48,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.49,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.5,-0.9,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.51,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
0.52,-0.8,-0.9,-0.9,-0.8,-0.9,-0.7,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.53,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0.1,,
0.54,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.55,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.56,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.9,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.57,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,-0.1,0,0,0,,
0.58,-0.8,-0.8,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
0.59,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.6,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.61,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0.1,,
0.62,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.63,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
0.64,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.4,0,0,0,0,0,,
0.65,-0.9,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,-0.1,0,0,,
0.66,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.67,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.68,-0.8,-0.9,-0.9,-0.8,-1,-0.8,-0.8,-0.7,-0.7,-0.6,-0.5,0,0,0,0,0,,
0.69,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
