Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.390,-0.8,-0.7,-0.6,-0.7,-1.0,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,-0.0
0.400,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,-0.0,0.0,0.0
0.410,-0.8,-0.7,-0.7,-0.7,-0.9,-0.7,-0.8,-0.7,-0.7,-0.6,-0.7,0.0,-0.0,0.0,-0.1,-0.0
0.420,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
0.430,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,0.0,0.0
0.440,-0.8,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.7,0.0,-0.0,0.1,-0.0,-0.0
0.450,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,-0.0,0.0,0.0
0.460,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,0.0,0.0
0.470,-0.8,-0.7,-0.7,-0.7,-0.9,-0.7,-0.8,-0.7,-0.7,-0.6,-0.7,0.0,0.0,0.0,-0.0,0.0
0.480,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0.0,-0.0,0.0,0.0,0.0
0.490,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,-0.0,0.0,0.0
0.500,-0.8,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0.0,0.0,0.0,-0.0,-0.0
0.510,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.5,-0.7,0.0,0.0,0.0,0.0,0.0
0.520,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,-0.0,0.0,-0.0,0.0,-0.0
0.530,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,-0.0
