Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.47,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.5,-3.3,-3.2,-3.1,0,0,0,0,0
0.48,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.49,-3.8,-3.6,-3.6,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.5,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.51,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.52,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.5,-3.3,-3.2,-3.1,0,0,-0.1,0,0
0.53,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,-0.1
0.54,-3.8,-3.5,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.55,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.56,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.57,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.58,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.5,-3.3,-3.2,-3.1,0,0,-0.1,0,0
0.59,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.6,-3.8,-3.6,-3.7,-3.5,-4.1,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.61,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.2,-3.2,-3.1,0,0,0,0,0
0.62,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.63,-3.8,-3.5,-3.8,-3.5,-4,-3.8,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.64,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.65,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.66,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.67,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.68,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.69,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.5,-3.3,-3.2,-3.1,0,0,0,0,0
0.7,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.71,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.72,-3.8,-3.6,-3.8,-3.5,-4.1,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.73,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
