Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.010,-4.7,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.5,0.0,0.0,0.0,0.0,0.0
0.020,-4.6,-6.1,-6.2,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.030,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.5,-4.3,-4.1,-3.8,-3.5,0.0,-0.0,-0.0,-0.0,0.0
0.040,-4.7,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,-0.0,0.0,0.0,0.0,-0.0
0.050,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.060,-4.6,-6.1,-6.1,-5.2,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.5,0.0,0.0,-0.0,0.0,0.0
0.070,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,-0.0,-0.0,0.0,0.0,-0.0
0.080,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,-0.0,0.0,-0.0,-0.0,0.0
0.090,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.5,-4.3,-4.0,-3.8,-3.6,0.0,-0.0,0.0,0.0,0.0
0.100,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.5,-0.0,-0.0,0.0,0.0,-0.0
0.110,-4.6,-6.1,-6.1,-5.3,-5.6,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.120,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,0.0,0.0,0.0
0.130,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.4,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,-0.0
0.140,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.150,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,-0.0,-0.1,0.0,0.0
0.160,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,-0.0,0.0,-0.0,-0.0,0.0
0.170,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.5,0.0,0.0,0.0,-0.0,0.0
0.180,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.5,-4.3,-4.0,-3.8,-3.6,0.0,0.1,0.0,-0.0,-0.0
0.190,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,-0.0,0.0,-0.0,-0.0,-0.0
0.200,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,0.0,0.0
0.210,-4.5,-6.1,-6.1,-5.2,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.5,-0.0,-0.0,0.0,0.0,-0.0
0.220,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.230,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.240,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.5,-0.0,-0.0,0.0,0.0,-0.1
0.250,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.260,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.5,-4.3,-4.0,-3.8,-3.6,0.0,-0.0,-0.0,0.0,-0.0
0.270,-4.6,-6.1,-6.1,-5.2,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,-0.0,-0.0,-0.1,0.0,-0.0
0.280,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,0.0,-0.0,0.0
0.290,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.5,0.0,-0.0,0.0,0.0,0.0
0.300,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,-0.0,0.0,-0.0,-0.0,-0.0
0.310,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.5,-4.3,-4.1,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.320,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.5,0.0,-0.0,0.0,0.0,-0.0
0.330,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,0.0,-0.0,-0.0
0.340,-4.6,-6.2,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.350,-4.6,-6.1,-6.1,-5.3,-5.7,-4.6,-4.6,-4.2,-4.0,-3.8,-3.6,0.0,0.0,0.0,0.0,-0.0
0.360,-4.6,-6.2,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,0.0,-0.0,0.0
0.370,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.7,-3.5,0.0,0.0,-0.0,0.0,-0.0
0.380,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.1,-3.8,-3.6,-0.0,-0.0,0.0,0.0,-0.0
0.390,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.400,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.5,-4.3,-4.0,-3.8,-3.6,0.0,0.0,0.0,0.0,0.0
0.410,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,-0.0,-0.0,0.0,0.0,0.0
0.420,-4.6,-6.1,-6.1,-5.3,-5.5,-4.7,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,0.0,-0.0
0.430,-4.7,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,0.0,0.0,-0.0
0.440,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.5,-0.0,-0.0,0.0,0.0,-0.0
0.450,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,-0.0
0.460,-4.6,-6.1,-6.1,-5.2,-5.5,-4.6,-4.5,-4.2,-4.0,-3.8,-3.5,0.0,0.0,0.0,0.0,0.0
0.470,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,-0.0,0.0,0.0,-0.0,-0.0
0.480,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.5,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
0.490,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.2,-4.0,-3.7,-3.6,0.0,-0.0,0.0,0.0,0.0
0.500,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.5,0.0,0.0,0.0,-0.0,-0.0
0.510,-4.6,-6.1,-6.1,-5.3,-5.5,-4.6,-4.6,-4.3,-4.0,-3.8,-3.6,0.0,0.0,-0.0,-0.0,0.0
