Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.380,-6.1,-7.5,-7.8,-7.4,-8.5,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,-0.0,0.0,-0.0,0.0,0.0
0.390,-6.1,-7.5,-7.7,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,-0.1,-0.0,0.0
0.400,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,0.0,-0.0,-0.0,-0.0,-0.0
0.410,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.1,-4.8,-0.0,0.0,0.0,0.0,0.0
0.420,-6.0,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.430,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,0.0,-0.0,-0.0,-0.0,0.0
0.440,-6.1,-7.5,-7.7,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.1,-4.8,-0.0,0.0,-0.0,0.0,-0.0
0.450,-6.1,-7.4,-7.7,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,0.0,-0.0,0.0,-0.0,0.0
0.460,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,0.0,0.1,-0.0,0.0,0.0
0.470,-6.1,-7.5,-7.7,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,-0.0,-0.0,0.0,0.0,-0.0
0.480,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.7,-5.4,-5.2,-4.9,0.0,-0.0,0.0,-0.0,-0.0
0.490,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.7,-5.4,-5.2,-4.8,-0.0,0.0,-0.0,-0.0,0.1
0.500,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.510,-6.1,-7.5,-7.8,-7.4,-8.4,-6.7,-6.0,-5.6,-5.4,-5.2,-4.9,0.0,-0.0,-0.0,-0.0,-0.0
0.520,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-5.8,-5.6,-5.4,-5.1,-4.8,-0.0,0.0,0.0,0.0,-0.0
0.530,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.540,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.1,-4.8,0.0,-0.0,0.0,-0.0,-0.0
0.550,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,-0.0,0.0,-0.0,-0.0,0.0
0.560,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.570,-6.2,-7.5,-7.8,-7.4,-8.4,-6.6,-6.0,-5.6,-5.5,-5.2,-4.8,0.0,-0.0,-0.0,-0.0,0.0
0.580,-6.2,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,-0.0,0.0,0.0,0.0,0.0
0.590,-6.2,-7.5,-7.8,-7.4,-8.4,-6.9,-6.0,-5.7,-5.4,-5.2,-4.9,0.0,-0.0,0.0,-0.0,-0.0
0.600,-6.1,-7.5,-7.8,-7.4,-8.4,-6.9,-6.0,-5.7,-5.4,-5.1,-4.9,0.0,-0.0,-0.0,0.0,0.0
0.610,-6.2,-7.5,-7.8,-7.4,-8.4,-6.9,-6.0,-5.7,-5.5,-5.1,-4.8,-0.0,0.0,0.0,-0.0,0.0
0.620,-6.2,-7.5,-7.7,-7.4,-8.4,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.630,-6.1,-7.5,-7.8,-7.4,-8.4,-6.9,-6.0,-5.7,-5.4,-5.1,-4.8,0.0,0.0,-0.0,0.0,-0.0
0.640,-6.2,-7.5,-7.8,-7.5,-8.4,-6.9,-6.0,-5.7,-5.5,-5.1,-4.9,-0.0,0.0,0.0,0.0,-0.0
0.650,-6.2,-7.5,-7.8,-7.4,-8.4,-6.9,-6.0,-5.7,-5.5,-5.3,-4.9,0.0,-0.0,0.0,-0.0,-0.0
0.660,-6.2,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.8,0.0,0.0,-0.0,0.0,0.0
0.670,-6.2,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.680,-6.2,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,0.0,-0.0,-0.0,-0.0,0.0
