Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.010,-5.3,-7.0,-7.2,-6.4,-6.7,-5.4,-5.3,-5.0,-4.7,-4.5,-4.2,0.0,-0.0,0.0,0.0,-0.0
0.020,-5.3,-7.0,-7.2,-6.4,-6.7,-5.4,-5.3,-5.0,-4.7,-4.5,-4.2,-0.0,0.0,0.0,-0.0,0.0
0.030,-5.4,-7.0,-7.2,-6.4,-6.7,-5.4,-5.3,-5.0,-4.7,-4.5,-4.2,0.0,0.0,0.0,0.0,0.0
0.040,-5.4,-7.0,-7.2,-6.4,-6.7,-5.4,-5.3,-5.0,-4.7,-4.5,-4.2,0.0,-0.0,0.0,0.0,-0.0
0.050,-5.4,-7.0,-7.2,-6.4,-6.7,-5.4,-5.3,-5.0,-4.7,-4.5,-4.2,-0.0,-0.0,-0.0,-0.0,-0.0
0.060,-5.4,-7.0,-7.2,-6.4,-6.7,-5.4,-5.3,-5.0,-4.7,-4.5,-4.2,0.0,0.0,0.0,0.0,0.0
0.070,-5.4,-7.0,-7.2,-6.4,-6.7,-5.5,-5.3,-5.0,-4.7,-4.5,-4.2,0.0,-0.0,-0.0,0.0,-0.0
0.080,-5.4,-7.0,-7.2,-6.4,-6.7,-5.4,-5.3,-5.0,-4.7,-4.5,-4.2,-0.0,-0.0,-0.0,-0.0,0.0
0.090,-5.4,-7.0,-7.2,-6.4,-6.7,-5.4,-5.3,-5.0,-4.7,-4.5,-4.2,0.0,0.0,0.0,0.0,0.0
0.100,-5.4,-7.0,-7.2,-6.4,-6.7,-5.5,-5.3,-5.0,-4.7,-4.5,-4.2,-0.0,-0.0,-0.0,0.0,-0.0
0.110,-5.4,-7.0,-7.2,-6.4,-6.7,-5.5,-5.3,-5.0,-4.7,-4.5,-4.2,-0.0,0.0,0.0,-0.0,0.1
0.120,-5.4,-7.0,-7.2,-6.4,-6.7,-5.4,-5.3,-5.0,-4.7,-4.5,-4.2,0.0,0.0,0.0,0.0,0.0
0.130,-5.4,-7.0,-7.2,-6.4,-6.9,-5.5,-5.3,-5.0,-4.7,-4.5,-4.2,0.0,-0.0,-0.0,-0.0,-0.0
0.140,-5.4,-7.0,-7.2,-6.4,-6.7,-5.5,-5.3,-5.0,-4.7,-4.5,-3.9,-0.0,-0.0,0.0,0.0,-0.0
