Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.010,-3.9,-5.1,-5.0,-4.3,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-2.9,-0.0,0.0,0.0,-0.0,-0.0
0.020,-3.9,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,0.0,-0.0,-0.0,0.0,0.0
0.030,-3.8,-5.0,-5.0,-4.4,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,0.0,0.0,-0.0,-0.0,0.0
0.040,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.5,-3.3,-3.2,-3.0,-0.0,0.0,0.0,0.0,-0.0
0.050,-3.9,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,0.0,-0.0,-0.0,0.0,0.0
0.060,-3.7,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-2.9,0.0,0.0,0.0,-0.0,-0.0
0.070,-3.8,-5.0,-4.9,-4.3,-4.6,-3.9,-3.9,-3.5,-3.3,-3.2,-3.0,-0.0,0.0,0.0,0.0,-0.0
0.080,-3.9,-5.0,-5.0,-4.4,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,0.0,-0.0,-0.0,-0.0,-0.0
0.090,-3.9,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-3.0,0.0,0.0,-0.0,-0.0,-0.0
0.100,-3.9,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,-0.0,0.0,0.0,0.0,0.0
0.110,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,0.0,-0.0,-0.0,-0.0,0.0
0.120,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-3.0,0.0,0.0,0.0,-0.0,-0.0
0.130,-3.9,-5.0,-5.0,-4.3,-4.7,-3.9,-3.9,-3.6,-3.4,-3.0,-2.9,-0.0,-0.0,0.0,0.0,0.0
0.140,-3.8,-5.0,-5.0,-4.4,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-3.0,0.0,0.0,-0.0,-0.0,-0.0
0.150,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.8,-3.5,-3.4,-3.2,-3.0,-0.0,0.0,0.0,-0.0,-0.0
0.160,-3.9,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,-0.0,0.0,0.0,0.0,0.2
0.170,-4.0,-5.0,-5.0,-4.4,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-3.0,0.0,0.0,0.0,-0.0,-0.0
0.180,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.8,-3.5,-3.4,-3.2,-3.0,-0.0,0.0,0.0,0.0,0.0
0.190,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.6,-3.3,-3.2,-3.0,0.0,0.0,0.0,0.0,0.0
0.200,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-3.0,0.0,0.0,-0.0,-0.0,-0.0
0.210,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-3.0,-0.0,0.0,0.0,0.0,0.0
0.220,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,0.0,-0.0,-0.0,-0.0,0.0
0.230,-3.9,-5.1,-5.0,-4.3,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-3.0,0.0,0.0,-0.0,-0.0,-0.0
0.240,-3.9,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-2.9,-0.0,-0.0,0.0,0.0,-0.0
0.250,-3.9,-5.0,-5.0,-4.4,-4.5,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,0.0,-0.0,-0.0,0.0,-0.0
0.260,-3.8,-5.1,-5.0,-4.3,-4.6,-3.9,-3.8,-3.5,-3.3,-3.2,-3.0,0.0,-0.0,-0.0,0.0,-0.0
0.270,-3.9,-5.0,-5.0,-4.3,-4.6,-4.0,-3.9,-3.6,-3.4,-3.2,-2.9,-0.0,0.0,0.0,0.0,0.0
0.280,-3.8,-5.0,-5.0,-4.4,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,0.0,-0.0,-0.0,-0.0,0.0
0.290,-3.8,-5.1,-5.0,-4.4,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-3.0,0.0,0.0,0.0,-0.0,-0.0
0.300,-3.9,-5.0,-5.1,-4.3,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,-0.0,0.0,-0.0,0.0,0.0
0.310,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-3.0,0.0,-0.0,-0.0,-0.0,-0.0
0.320,-3.8,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.5,-3.4,-3.2,-3.0,0.0,0.0,0.0,0.0,0.0
0.330,-3.9,-5.0,-5.0,-4.3,-4.6,-3.9,-3.9,-3.6,-3.4,-3.2,-2.9,0.0,0.0,-0.0,0.0,0.0
