Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.010,-6.9,-7.9,-8.2,-8.2,-9.8,-8.9,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.020,-6.9,-7.9,-8.2,-8.2,-9.8,-8.9,-7.6,-6.3,-6.0,-5.7,-5.5,-0.0,0.0,-0.1,-0.0,0.0
0.030,-6.9,-7.9,-8.2,-8.2,-9.8,-8.9,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,-0.0,-0.0,0.0
0.040,-6.9,-7.9,-8.2,-8.2,-9.8,-8.9,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.050,-7.0,-7.9,-8.2,-8.2,-9.8,-8.9,-7.6,-6.3,-6.0,-5.8,-5.5,-0.0,0.0,-0.0,-0.0,0.0
0.060,-6.9,-8.1,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,0.0,0.0,-0.0,-0.0
0.070,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.080,-6.9,-7.9,-8.3,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,-0.0,0.0,-0.0,-0.0,0.0
0.090,-6.9,-7.9,-8.2,-8.2,-9.7,-8.7,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,0.0,-0.0,-0.0
0.100,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,-0.0,0.0,0.0
0.110,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,-0.0,0.0,-0.0,-0.1,-0.0
0.120,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.0,-0.0,0.0,0.0,0.0
0.130,-6.9,-7.9,-8.2,-8.3,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,0.0,-0.0,0.0
0.140,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.0,0.0,0.0,-0.0,-0.0
0.150,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,0.0,0.0,-0.0
0.160,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.1,0.0,-0.0,-0.0,0.0
0.170,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,0.0,-0.0,-0.0
0.180,-6.9,-7.9,-8.2,-8.2,-9.9,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.190,-6.9,-8.0,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,-0.0,0.0,-0.0,-0.0,0.0
0.200,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,-0.0,-0.0,-0.0
0.210,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.220,-6.9,-8.0,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,-0.0,0.0,-0.0,-0.0,0.0
0.230,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,0.0,0.0,-0.0
0.240,-6.9,-7.9,-8.2,-8.2,-9.8,-8.9,-7.6,-6.3,-6.0,-5.7,-5.5,-0.0,-0.0,0.0,-0.0,0.0
0.250,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,-0.0,0.0,0.0,-0.0,0.0
0.260,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,0.0,-0.0,0.0
0.270,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,-0.0,0.0
0.280,-7.0,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,-0.0,0.0,-0.0,-0.0,-0.0
0.290,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,0.0,-0.0,-0.0
0.300,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,-0.0,-0.0,0.0
0.310,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,-0.0,-0.0
0.320,-6.9,-7.9,-8.2,-8.2,-9.8,-8.7,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,0.0,0.0,0.0
0.330,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.0,-0.0,-0.0,-0.0,0.0
0.340,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,0.0,-0.0,-0.0,-0.0,-0.0
0.350,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,-0.0,0.0
0.360,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,-0.0,-0.0,0.0
0.370,-6.9,-8.0,-8.3,-8.2,-9.8,-8.9,-7.6,-6.3,-6.0,-5.8,-5.5,0.0,-0.0,-0.0,0.0,0.0
0.380,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.390,-6.9,-7.9,-8.3,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,-0.0,0.0,-0.0,-0.0,0.0
0.400,-7.0,-8.0,-8.2,-8.3,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.0,0.1,0.0,-0.0,-0.0
0.410,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,0.0,0.0,0.0
0.420,-7.1,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,0.0,-0.0,-0.0,0.0
0.430,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.0,-0.0,0.0,0.0,0.0
0.440,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,-0.0,0.0
0.450,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,-0.0,0.0,-0.0,-0.0,-0.1
0.460,-6.9,-7.9,-8.3,-8.2,-9.8,-8.8,-7.6,-6.3,-5.9,-5.7,-5.4,0.0,-0.0,-0.0,-0.0,-0.0
0.470,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,0.1,-0.0,0.0
0.480,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,-0.0,0.0,-0.0,-0.0,-0.0
0.490,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.5,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.500,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,0.0,-0.0,0.1
0.510,-6.9,-7.9,-8.3,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,-0.0,-0.0
0.520,-6.9,-8.0,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.530,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,0.0,-0.0,-0.0,0.0
0.540,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.1,0.0,-0.0,-0.0
0.550,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,0.0,0.0,0.0,-0.0
0.560,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.1,-0.0,-0.0,0.0
0.570,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,0.0,-0.0,-0.0
0.580,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.590,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,0.0,0.0,-0.0,-0.0,0.0
0.600,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,0.0,0.0,-0.0
0.610,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,-0.0
0.620,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,0.0,0.0,-0.1,-0.0,0.0
0.630,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,-0.0,-0.0,0.0
0.640,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.1,-0.0,0.0,0.0
0.650,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,0.0,-0.0,-0.0,0.0
0.660,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.670,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,0.0,-0.0,-0.0,0.0
0.680,-7.0,-8.0,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.0,-0.0,-0.0,-0.0,-0.0
0.690,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.700,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,0.0,-0.0,-0.0,0.0
0.710,-6.9,-7.8,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,-0.0,0.0
0.720,-6.9,-7.9,-8.2,-8.2,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.730,-6.9,-7.9,-8.2,-8.3,-9.8,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.0,-0.0,-0.0,-0.0,0.0
0.740,-6.9,-7.9,-8.2,-8.3,-9.8,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,0.0,0.0,0.0,-0.0
0.750,-6.9,-7.9,-8.2,-8.2,-9.5,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.760,-6.9,-8.0,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,-0.0,-0.0,0.0
0.770,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,-0.0,-0.0,0.0,0.0,-0.0
0.780,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,-0.0
0.790,-7.1,-7.9,-8.2,-8.2,-9.6,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,0.0,0.0,-0.0,0.0
0.800,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,-0.0,-0.0
0.810,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,0.0,-0.0,0.0
0.820,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.5,-5.5,0.0,0.0,-0.1,-0.0,0.0
0.830,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,-0.0,0.0
0.840,-7.0,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,-0.0,-0.0,0.0
0.850,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,-0.0,-0.0
0.860,-6.9,-8.0,-8.2,-8.2,-9.7,-8.9,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,-0.0
0.870,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.3,-6.3,-6.0,-5.7,-5.4,-0.0,0.0,-0.0,-0.0,-0.0
0.880,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,0.0,-0.0
0.890,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,-0.0,-0.0,0.0,0.0,0.0
0.900,-6.9,-7.9,-8.3,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,0.0,0.0,-0.0,-0.0,0.0
0.910,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,-0.0,-0.0
0.920,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.930,-7.0,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,-0.0,-0.0,0.0
0.940,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,0.0,0.0,-0.0
0.950,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-5.9,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.960,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.0,-0.0,-0.0,-0.0,0.0
0.970,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,0.0,-0.0,-0.0
0.980,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,0.0,0.0,0.0
0.990,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.0,0.0,-0.0,-0.0,-0.0
1.000,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,0.0,0.0,-0.1
1.010,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,0.0,0.0,-0.0,0.0
1.020,-7.0,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,-0.0,0.0
1.030,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,-0.0
1.040,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,-0.0,0.0
1.050,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,-0.0,-0.0
1.060,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
1.070,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,0.0,-0.0,-0.0,0.0
1.080,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,-0.0,-0.0
1.090,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,-0.0,-0.0
1.100,-7.0,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,0.0,0.0,-0.0,-0.0,0.0
1.110,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,0.0,-0.0,-0.0,-0.0,-0.0
1.120,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,0.0,-0.0,-0.0
1.130,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.5,0.0,0.0,-0.0,-0.0,0.0
1.140,-6.9,-7.9,-8.2,-8.3,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,-0.0,-0.0,0.0,0.0
1.150,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,0.0,0.0
1.160,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.5,0.0,0.0,0.0,-0.0,0.0
1.170,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.7,-5.4,-0.0,-0.0,0.0,-0.0,0.0
1.180,-6.9,-7.9,-8.2,-8.2,-9.7,-8.8,-7.6,-6.3,-6.0,-5.8,-5.4,-0.0,-0.0,0.0,-0.0,0.0
